City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
271,Sitka,57.0531,-135.33,48.49,82,100,6.51,light rain
272,Tapes,-30.6733,-51.3958,57.99,92,51,6.04,broken clouds
273,Champerico,14.3,-91.9167,84.34,90,100,8.66,overcast clouds
274,Butembo,0.15,29.2833,55.26,96,98,1.16,overcast clouds
275,Chimbote,-9.0853,-78.5783,62.65,86,85,9.1,overcast clouds
276,Alofi,-19.0595,-169.9187,75.09,88,21,10.36,light rain
277,Idrinskoye,54.3708,92.1358,37.78,77,99,4.88,overcast clouds
278,Sigiriya,7.9518,80.7426,77.81,79,95,13.44,overcast clouds
279,Chekhov,55.1431,37.4711,46.35,90,100,6.24,overcast clouds
280,Fare,-16.7,-151.0167,77.34,61,0,1.79,clear sky
281,Inhambane,-23.865,35.3833,67.01,76,0,4.72,clear sky
282,Gold Coast,-28.0,153.4333,86.16,43,26,4.0,scattered clouds
283,Saint-Joseph,-21.3667,55.6167,70.16,79,2,11.07,clear sky
284,Upernavik,72.7868,-56.1549,21.0,82,35,6.15,scattered clouds
285,Vila,42.0304,-8.1588,53.33,91,100,3.6,overcast clouds
286,Palmer,42.1584,-72.3287,64.92,84,40,0.0,scattered clouds
287,Kabanjahe,3.1001,98.4908,66.96,78,86,2.53,overcast clouds
288,Zemio,5.0314,25.1361,65.12,98,96,1.48,overcast clouds
289,Bereda,43.2686,-7.5406,56.95,100,81,2.1,broken clouds
290,Catuday,16.2923,119.8062,82.98,68,29,6.69,scattered clouds
291,Innisfail,-17.5333,146.0333,76.71,66,98,8.55,overcast clouds
292,Ihosy,-22.4,46.1167,61.0,87,65,9.17,broken clouds
293,Carutapera,-1.195,-46.02,78.28,80,86,6.96,overcast clouds
294,Victor Harbor,-35.5667,138.6167,58.91,70,96,1.99,overcast clouds
295,Plainview,40.7765,-73.4673,69.48,75,42,5.37,scattered clouds
296,Faya,18.3851,42.4509,62.71,60,87,2.51,overcast clouds
297,Xalpatlahuac,17.4667,-98.6167,63.16,88,92,3.94,overcast clouds
298,Humaita,-7.5061,-63.0208,74.05,93,52,1.19,broken clouds
299,Tommot,58.9564,126.2925,44.35,63,100,3.02,overcast clouds
300,Presidencia Roque Saenz Pena,-26.7852,-60.4388,62.04,57,0,5.88,clear sky
301,Chokwe,-24.5333,32.9833,62.53,73,2,1.72,clear sky
302,Oktyabrskoye,43.0645,44.7417,46.54,100,100,4.47,overcast clouds
303,Firozabad,27.15,78.4167,79.92,83,1,6.8,clear sky
304,Effium,6.6292,8.0593,77.41,97,99,3.47,overcast clouds
305,San Carlos De Bariloche,-41.1456,-71.3082,53.35,43,0,4.61,clear sky
306,Friockheim,56.6378,-2.6636,57.43,93,27,3.87,scattered clouds
307,Codrington,-38.2667,141.9667,52.2,56,93,13.51,overcast clouds
308,Valdez,1.2492,-78.9831,77.34,84,100,8.34,overcast clouds
309,Geraldton,-28.7667,114.6,68.41,40,0,4.61,clear sky
310,Paducah,37.0834,-88.6001,65.28,84,92,7.11,overcast clouds
311,Esperance,-33.8667,121.9,55.24,53,46,14.36,scattered clouds
312,Lavrentiya,65.5833,-171.0,32.31,92,100,23.47,light snow
313,The Valley,18.217,-63.0578,84.06,75,31,8.03,scattered clouds
314,Sosnovka,56.255,51.2842,44.74,90,100,9.53,light rain
315,Porto Novo,6.4965,2.6036,78.62,89,100,5.26,overcast clouds
316,Sikasso,10.9167,-7.0,73.17,88,100,2.57,overcast clouds
317,Solnechnyy,50.7214,136.6319,61.27,50,7,4.47,clear sky
318,Bantva,21.4864,70.0689,78.8,88,65,6.58,broken clouds
319,Coquimbo,-29.9533,-71.3436,55.13,94,90,3.44,overcast clouds
320,Kurchum,48.5722,83.6542,37.69,65,79,5.14,broken clouds
321,Balkhash,46.844,74.9804,34.41,60,0,13.42,clear sky
322,Great Yarmouth,52.6083,1.7305,64.65,88,100,5.95,overcast clouds
323,Lhokseumawe,5.1801,97.1507,82.2,76,99,2.48,overcast clouds
324,Novopokrovka,49.8425,36.5477,48.58,95,100,4.56,overcast clouds
325,Abu Zabad,12.35,29.25,71.82,86,100,8.63,overcast clouds
326,Vrangel,42.7297,133.0839,64.62,70,71,5.53,broken clouds
327,Okha,53.5739,142.9478,60.26,54,7,7.83,clear sky
328,Te Anau,-45.4167,167.7167,43.81,91,100,10.04,overcast clouds
329,Uchiza,-8.4592,-76.4633,70.11,88,35,2.53,scattered clouds
330,Kurush,41.2841,47.8345,30.09,97,100,7.36,overcast clouds
331,Grand-Lahou,5.1367,-5.0242,75.94,93,100,8.39,light rain
332,Olafsvik,64.8945,-23.7142,41.34,73,85,18.7,overcast clouds
333,Hobyo,5.3505,48.5268,76.96,86,67,22.17,broken clouds
334,Anadyr,64.75,177.4833,30.7,80,0,8.01,clear sky
335,Port Moresby,-9.4431,147.1797,83.62,79,75,5.75,broken clouds
336,Roebourne,-20.7833,117.1333,83.37,19,3,10.78,clear sky
337,Nebolchi,59.1239,33.3454,45.45,93,100,8.01,overcast clouds
338,Monrovia,6.3005,-10.7969,74.97,85,100,7.09,light rain
339,Baghdad,33.3406,44.4009,75.11,43,0,5.75,clear sky
340,Pasighat,28.0667,95.3333,83.34,71,17,0.29,few clouds
341,Campbell River,50.0163,-125.2446,63.32,73,98,0.89,overcast clouds
342,Puerto Escondido,15.85,-97.0667,80.62,84,100,2.86,overcast clouds
343,Tak Bai,6.2595,102.0546,84.9,81,100,3.6,overcast clouds
344,Yaan,7.3833,8.5667,71.15,97,82,4.21,broken clouds
345,Najran,17.4924,44.1277,70.45,23,10,1.23,clear sky
346,Egvekinot,66.3167,-179.1667,23.56,74,54,11.7,broken clouds
347,Manavalakurichi,8.1333,77.3,78.89,80,100,15.19,overcast clouds
348,Mianyang,31.4593,104.7542,75.34,88,96,6.6,heavy intensity rain
349,Tilichiki,60.4667,166.1,44.42,41,99,5.21,overcast clouds
350,Mbala,-8.8402,31.3659,61.81,65,44,10.04,scattered clouds
351,Kavieng,-2.5744,150.7967,83.93,71,15,9.84,light rain
352,Upington,-28.4478,21.2561,59.38,20,0,0.0,clear sky
353,Mount Gambier,-37.8333,140.7667,51.71,62,75,13.8,broken clouds
354,Maningrida,-12.0667,134.2667,87.62,43,61,10.31,broken clouds
355,Sandy Bay,-42.913,147.3532,50.09,62,20,4.0,few clouds
356,Manta,-0.95,-80.7333,74.98,83,40,6.91,scattered clouds
357,Kuala Terengganu,5.3302,103.1408,82.35,83,20,4.61,few clouds
358,Ponta Delgada,37.7333,-25.6667,69.49,73,20,4.61,few clouds
359,Rio Gallegos,-51.6226,-69.2181,53.65,54,75,21.85,broken clouds
360,Kahului,20.8947,-156.47,83.97,81,40,14.76,scattered clouds
361,Merauke,-8.4667,140.3333,82.15,76,46,14.81,scattered clouds
362,Borogontsy,62.6683,131.1683,39.0,96,100,8.03,light rain
363,De-Kastri,51.4667,140.7833,61.54,50,0,2.26,clear sky
364,Dudinka,69.4058,86.1778,33.82,67,100,2.37,overcast clouds
365,Kuusamo,65.9667,29.1833,44.64,93,90,8.05,overcast clouds
366,Bara,10.3744,10.7288,71.4,90,89,5.26,overcast clouds
367,Kupang,-10.1667,123.5833,88.38,45,20,8.05,few clouds
368,Huilong,31.8111,121.655,81.99,67,31,14.32,scattered clouds
369,Selma,36.5708,-119.6121,91.13,42,1,4.61,clear sky
370,Conroe,30.3119,-95.456,75.96,59,5,6.04,clear sky
371,Vadastrita,43.85,24.3333,62.83,59,77,9.82,broken clouds
372,Flinders,-34.5833,150.8552,58.28,89,79,13.58,broken clouds
373,Tual,-5.6667,132.75,80.53,81,36,16.44,scattered clouds
374,Muros,42.7762,-9.0603,63.23,93,98,5.21,overcast clouds
375,Maymyo,22.0333,96.4667,67.37,89,82,1.41,broken clouds
376,Owando,-0.4819,15.8999,70.07,97,100,2.26,overcast clouds
