City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,San Andres,CO,2021-09-23 01:10:17,12.5847,-81.7006,82.42,78,20,4.61
90,Narsaq,GL,2021-09-23 01:10:18,60.9167,-46.05,39.42,89,100,3.27
91,Sola,VU,2021-09-23 01:10:18,-13.8833,167.55,78.53,78,100,10.29
92,Kashi,CN,2021-09-23 01:10:19,39.4547,75.9797,66.74,22,0,4.9
93,Khatanga,RU,2021-09-23 01:08:05,71.9667,102.5,34.93,99,100,4.16
94,Bambous Virieux,MU,2021-09-23 01:10:20,-20.3428,57.7575,68.22,76,10,12.8
95,Eravur,LK,2021-09-23 01:10:20,7.7733,81.6095,79.12,82,46,3.87
96,Puerto Ayora,EC,2021-09-23 01:10:21,-0.7393,-90.3518,69.33,89,81,9.28
97,Voh,NC,2021-09-23 01:10:22,-20.9667,164.7,75.99,47,5,14.32
98,Faanui,PF,2021-09-23 01:10:22,-16.4833,-151.75,77.2,73,12,10.27
99,Chicama,PE,2021-09-23 01:10:23,-7.8447,-79.1469,59.54,85,54,8.61
100,Port Elizabeth,ZA,2021-09-23 01:08:05,-33.918,25.5701,58.95,77,100,8.34
101,Novikovo,RU,2021-09-23 01:10:23,51.1537,37.8879,45.95,89,100,3.15
102,Bathsheba,BB,2021-09-23 01:08:18,13.2167,-59.5167,83.01,74,20,11.5
103,Sibu,MY,2021-09-23 01:10:24,2.3,111.8167,81.5,82,97,2.86
104,Opuwo,NA,2021-09-23 01:10:25,-18.0607,13.84,72.64,20,100,4.7
105,Tasiilaq,GL,2021-09-23 01:10:25,65.6145,-37.6368,32.16,70,48,6.35
106,Mar Del Plata,AR,2021-09-23 01:09:12,-38.0023,-57.5575,53.62,82,90,9.22
107,Grindavik,IS,2021-09-23 01:09:25,63.8424,-22.4338,39.67,75,75,8.05
108,Palembang,ID,2021-09-23 01:07:36,-2.9167,104.7458,80.69,83,20,4.61
109,Batagay-Alyta,RU,2021-09-23 01:10:26,67.8006,130.4114,35.83,87,85,2.08
110,Saint-Philippe,RE,2021-09-23 01:10:27,-21.3585,55.7679,66.22,85,71,10.29
111,Upernavik,GL,2021-09-23 01:10:27,72.7868,-56.1549,21.99,85,99,5.06
